matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,yellow_cards.home,yellow_cards.away,red_cards.home,red_cards.away
vZmYyLkk,,FINISHED,01.05.2021 18:30,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,2,0,7.3,6.6,Friend K. (Eng),Stamford Bridge (London),40 341,,49%,51%,9,10,5,3,1,8,0%,0%,1,4,3,3,7,1,9,22,17,23,15,8,3,3,1,1,,
8jc2ssSR,,FINISHED,01.05.2021 16:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,2,0,7.4,6.5,Kavanagh C. (Eng),Amex Stadium (Brighton),31 876,,42%,58%,17,11,5,2,2,9,0%,0%,8,5,4,4,0,1,6,17,17,29,17,6,2,3,1,1,,
IPnxyu5e,,FINISHED,01.05.2021 13:30,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,2,6.6,7.6,Coote D. (Eng),Selhurst Park (London),25 486,,30%,70%,9,20,4,3,2,6,0%,0%,4,10,1,7,3,1,10,12,31,12,9,10,1,4,2,0,,
jqAOdMRE,,FINISHED,30.04.2021 21:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,1,1,7,7.3,Jones R. (Eng),St. Mary's Stadium (Southampton),32 384,,29%,71%,5,23,3,9,0,10,0%,0%,0,9,2,5,1,5,17,10,20,20,9,13,8,2,1,0,1,0
QVNbNLzd,,FINISHED,26.04.2021 21:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,2,1,7.3,6.5,Scott G. (Eng),King Power Stadium (Leicester),32 261,,67%,33%,13,4,5,2,7,2,0%,0%,6,1,2,1,2,3,14,15,16,25,13,12,1,3,0,1,,
COsOTNcS,,FINISHED,25.04.2021 20:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,West Brom,https://static.flashscore.com/res/image/data/zDuImRwS-ImMEe0UF.png,2,2,7.1,6.9,Attwell S. (Eng),Villa Park (Birmingham),42 789,,70%,30%,24,10,11,4,11,4,0%,0%,7,5,6,1,2,1,9,15,14,12,14,9,2,9,0,2,,
W8OfO1Lk,,FINISHED,25.04.2021 15:00,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,0,0,7,7.3,Pawson C. (Eng),Elland Road (Leeds),37 792,,44%,56%,6,16,3,4,2,6,0%,0%,1,7,2,5,2,0,11,23,17,28,21,11,4,3,4,1,,
QR7crNCL,,FINISHED,25.04.2021 13:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,0,4,6.3,7.6,England D. (Eng),Molineux Stadium (Wolverhampton),31 750,,59%,41%,12,14,2,7,8,5,0%,0%,5,6,5,1,2,2,12,10,18,23,8,9,3,2,1,2,,
I14kpqr9,,FINISHED,24.04.2021 21:00,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,1,0,7.1,6.8,Friend K. (Eng),Bramall Lane (Sheffield),32 050,,32%,68%,7,17,3,4,2,12,0%,0%,1,8,3,5,0,1,8,13,16,26,13,7,4,2,3,0,,
ny9gq3cF,,FINISHED,24.04.2021 18:30,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,0,1,6.6,7.4,Kavanagh C. (Eng),London Stadium (London),62 500,,45%,55%,9,17,2,6,4,2,0%,0%,4,6,3,5,3,3,14,12,27,21,9,11,5,2,0,4,1,0
x6R2Muj2,,FINISHED,24.04.2021 13:30,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,1,7.2,7.1,Marriner A. (Eng),Anfield (Liverpool),61 276,,69%,31%,22,7,9,4,6,3,0%,0%,8,1,5,2,1,4,12,10,19,19,9,7,3,8,2,1,,
YXrKU3rM,,FINISHED,23.04.2021 21:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,0,1,6.6,7.1,Moss J. (Eng),Emirates Stadium (London),60 704,,59%,41%,14,8,3,1,7,3,0%,0%,3,3,8,4,2,1,10,16,19,9,13,10,1,3,1,3,,
xn3L926d,,FINISHED,22.04.2021 21:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,West Brom,https://static.flashscore.com/res/image/data/zDuImRwS-ImMEe0UF.png,3,0,7.6,6.1,Madley A. (Eng),King Power Stadium (Leicester),32 261,,73%,27%,17,4,7,1,7,3,0%,0%,5,3,5,0,1,0,12,14,23,24,13,12,1,4,0,2,,
AXnuUWiB,,FINISHED,21.04.2021 21:15,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,1,2,6.3,7,Bankes P. (Eng),Villa Park (Birmingham),42 789,,28%,72%,8,13,3,3,1,11,0%,0%,3,7,2,3,1,2,9,13,14,16,12,7,1,2,2,1,1,1
C2lqCbWP,,FINISHED,21.04.2021 19:00,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,2,1,7.3,6.6,Coote D. (Eng),Tottenham Hotspur Stadium (London),62 850,,62%,38%,12,10,3,5,5,5,0%,0%,5,3,4,2,2,0,14,12,29,14,10,14,4,1,2,1,,
4fnqTj7H,,FINISHED,20.04.2021 21:15,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,0,0,6.9,6.9,Attwell S. (Eng),Stamford Bridge (London),40 341,,64%,36%,7,11,4,2,0,3,0%,0%,2,4,1,5,3,0,9,11,19,23,8,9,2,4,2,2,0,1
be4HArij,,FINISHED,19.04.2021 21:00,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,1,1,7.2,7.1,Taylor A. (Eng),Elland Road (Leeds),37 792,,62%,38%,12,17,5,7,10,8,0%,0%,4,6,3,4,0,4,18,7,18,26,7,15,6,4,2,1,,
4hi3Yoqc,,FINISHED,18.04.2021 17:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,3,1,7.5,6.6,Moss J. (Eng),Old Trafford (Manchester),75 635,,69%,31%,17,10,9,3,8,3,0%,0%,4,4,4,3,2,4,16,10,24,12,9,12,2,6,1,2,,
WtlyVCx5,,FINISHED,18.04.2021 14:30,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,1,1,7,7,Pawson C. (Eng),Emirates Stadium (London),60 704,,69%,31%,18,3,5,1,11,1,0%,0%,8,0,5,2,5,0,11,13,16,13,9,11,0,4,0,3,,
