matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,shots_off_target.home,shots_off_target.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,blocked_shots.home,blocked_shots.away,red_cards.home,red_cards.away
GziuczET,,FINISHED,13.05.2024 21:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,3,3,6.8,6.9,Hooper S. (Eng),Villa Park (Birmingham),42 789,42 241,3.31,1.72,41%,59%,19,14,5,7,5,4,0%,0%,1,1,14,7,2,6,21,13,16,18,11,15,4,2,,,,
ERUq06ui,,FINISHED,12.05.2024 17:30,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,0,1,6.8,7.3,Tierney P. (Eng),Old Trafford (Manchester),75 635,73 600,0.71,1.48,54%,46%,14,11,2,5,4,7,0%,0%,0,2,12,6,2,0,5,7,17,20,5,6,4,2,,,,
nuTibpA3,,FINISHED,11.05.2024 18:30,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,2,3,6.6,7.1,Harrington T. (Eng),City Ground (Nottingham),30 404,29 708,1.60,1.81,32%,68%,20,12,4,5,5,6,0%,0%,2,3,16,7,3,1,11,17,21,15,14,8,2,2,,,,
2XnybGbN,,FINISHED,11.05.2024 16:00,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,1,2,6.6,7.1,Donohue M. (Eng),Vitality Stadium (Bournemouth),11 307,11 154,0.59,1.60,48%,52%,13,11,4,5,3,8,0%,0%,2,2,9,6,1,0,12,17,21,15,16,12,3,3,,,,
YFw7hfMp,,FINISHED,11.05.2024 16:00,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,1,0,7.4,6.6,Attwell S. (Eng),Goodison Park (Liverpool),39 572,39 221,2.00,0.62,57%,43%,15,13,6,1,3,6,0%,0%,1,2,9,12,3,0,11,9,20,18,6,11,1,5,,,,
hITmaQfc,,FINISHED,11.05.2024 16:00,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,1,1,7.2,7,England D. (Eng),St. James' Park (Newcastle),52 305,51 997,2.21,1.50,56%,44%,18,15,7,4,8,4,0%,0%,3,4,11,11,3,1,17,12,20,12,9,16,3,6,,,,
0rXec4P9,,FINISHED,11.05.2024 16:00,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,2,1,7.2,6.6,Gillett J. (Aus),Tottenham Hotspur Stadium (London),62 850,61 148,2.58,0.71,63%,37%,21,7,9,3,9,3,0%,0%,3,5,12,4,1,3,17,11,16,13,10,14,2,7,,,,
r7M0dOvG,,FINISHED,11.05.2024 16:00,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Luton,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,3,1,7.4,6.5,Oliver M. (Eng),London Stadium (London),62 500,62 475,2.30,0.47,58%,42%,24,4,8,1,7,6,0%,0%,1,3,16,3,2,0,15,11,21,15,9,15,0,5,,,,
McL4erfM,,FINISHED,11.05.2024 16:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,1,3,6.5,7.4,Bramall T. (Eng),Molineux Stadium (Wolverhampton),31 750,31 424,1.16,3.00,62%,38%,14,13,8,3,8,3,0%,0%,3,4,6,10,3,5,19,14,23,16,13,12,0,7,,,0,1
C6xBiEyi,,FINISHED,11.05.2024 13:30,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,4,6.1,7.5,Taylor A. (Eng),Craven Cottage (London),29 589,24 418,0.10,2.87,35%,65%,1,16,1,9,1,7,0%,0%,3,0,0,7,0,0,5,9,16,10,9,6,5,1,,,1,0
jT5F2vph,,FINISHED,06.05.2024 21:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,4,0,7.6,6.3,Gillett J. (Aus),Selhurst Park (London),25 486,25 190,1.40,0.33,43%,57%,18,7,10,2,6,2,0%,0%,1,1,8,5,2,1,10,13,21,11,12,8,2,6,,,,
YieK1bab,,FINISHED,05.05.2024 17:30,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,4,2,7.7,6.4,Tierney P. (Eng),Anfield (Liverpool),61 276,60 075,3.19,1.16,44%,56%,25,11,13,6,8,3,0%,0%,1,4,12,5,7,2,14,19,16,19,14,12,4,9,,,,
xWC2qHqU,,FINISHED,05.05.2024 15:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,1,0,7.1,6.6,Jones R. (Eng),Amex Stadium (Brighton),31 876,31 596,2.47,0.06,52%,48%,15,2,8,1,7,3,0%,0%,2,1,7,1,4,1,10,17,11,15,13,10,1,7,,,,
hrmC3KUo,,FINISHED,05.05.2024 15:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,5,0,8.1,6.2,Madley A. (Eng),Stamford Bridge (London),40 341,39 295,4.31,0.93,69%,31%,25,13,14,2,8,6,0%,0%,1,3,11,11,1,0,10,13,8,17,12,10,2,9,,,,
tIbSaxUA,,FINISHED,04.05.2024 18:30,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,5,1,7.5,6,Pawson C. (Eng),Etihad Stadium (Manchester),55 097,52 439,3.03,0.37,58%,42%,20,2,12,1,6,0,0%,0%,0,4,8,1,2,2,17,6,15,8,4,17,0,7,,,,
