matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,big_chances.home,big_chances.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,xg_on_target_(xgot).home,xg_on_target_(xgot).away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,shots_inside_the_box.home,shots_inside_the_box.away,shots_outside_the_box.home,shots_outside_the_box.away,hit_the_woodwork.home,hit_the_woodwork.away,touches_in_opposition_box.home,touches_in_opposition_box.away,accurate_through_passes.home,accurate_through_passes.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,long_passes.home,long_passes.away,passes_in_final_third.home,passes_in_final_third.away,crosses.home,crosses.away,expected_assists_(xa).home,expected_assists_(xa).away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,tackles.home,tackles.away,duels_won.home,duels_won.away,clearances.home,clearances.away,interceptions.home,interceptions.away,errors_leading_to_shot.home,errors_leading_to_shot.away,errors_leading_to_goal.home,errors_leading_to_goal.away,goalkeeper_saves.home,goalkeeper_saves.away,xgot_faced.home,xgot_faced.away,goals_prevented.home,goals_prevented.away,red_cards.home,red_cards.away,headed_goals.home,headed_goals.away
r7OTf2bS,,FINISHED,29.12.2024 15:30,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,2,6.4,7.3,Oliver M. (Eng),King Power Stadium (Leicester),32 261,32 057,1.33,1.40,53%,47%,11,14,4,5,3,2,4,4,93%,91%,2,1,,,5,6,2,3,10,8,1,6,2,0,26,25,,,3,2,6,11,,,84%,84%,26%,45%,,,13,19,11,6,57%,60%,,,11,16,9,4,,,,,3,4,,,,,,,0,1
EZ4TVfPa,,FINISHED,27.12.2024 21:15,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Ipswich,https://static.flashscore.com/res/image/data/zm5vbmDa-jXzj6iAf.png,1,0,7.3,6.6,England D. (Eng),Emirates Stadium (London),60 704,60 271,1.94,0.16,68%,32%,13,3,5,0,3,0,5,1,90%,81%,1,1,,,3,0,5,3,9,0,4,3,0,0,40,5,,,1,2,12,7,,,83%,79%,28%,13%,,,16,10,7,12,55%,56%,,,14,29,6,14,,,,,0,4,,,,,,,,
nm3yUYgC,,FINISHED,27.12.2024 20:30,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,0,0,7.4,7.1,Madley A. (Eng),Amex Stadium (Brighton),31 876,31 548,1.26,0.96,58%,42%,24,8,7,3,1,1,5,3,81%,73%,0,2,,,12,2,5,3,15,7,9,1,1,0,43,17,,,0,5,12,6,,,73%,66%,21%,22%,,,14,17,6,12,76%,67%,,,14,32,9,10,,,,,3,7,,,,,,,,
WAyfnG9t,,FINISHED,26.12.2024 21:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,3,1,7.4,6.5,Bond D. (Eng),Anfield (Liverpool),61 276,60 300,1.83,0.35,68%,32%,19,4,7,1,1,0,14,1,91%,76%,3,2,,,6,2,6,1,14,2,5,2,2,0,59,4,,,2,2,5,17,,,83%,48%,23%,67%,,,15,13,17,5,50%,36%,,,10,52,7,11,,,,,0,4,,,,,,,,
hb3Vo7Fc,,FINISHED,26.12.2024 18:30,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,2,0,7.3,6.3,Harrington T. (Eng),Molineux Stadium (Wolverhampton),31 750,31 407,0.87,0.35,51%,49%,7,11,4,4,1,0,4,4,83%,80%,2,4,,,1,3,2,4,3,5,4,6,0,0,14,19,,,3,1,12,12,,,73%,73%,13%,35%,,,18,19,12,12,73%,72%,,,21,22,14,12,,,,,4,2,,,,,0,1,,
I7BKXGfm,,FINISHED,26.12.2024 16:00,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,0,0,7.2,7.3,Bramall T. (Eng),Vitality Stadium (Bournemouth),11 307,11 129,1.19,0.53,52%,48%,18,10,4,4,0,0,5,2,81%,78%,2,2,,,10,2,4,4,15,6,3,4,0,0,34,17,,,1,1,12,13,,,73%,67%,15%,45%,,,22,19,13,12,73%,56%,,,22,24,8,9,,,,,4,4,,,,,,,,
rFdpSCOO,,FINISHED,26.12.2024 16:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,1,2,6.6,7.2,Barrott S. (Eng),Stamford Bridge (London),40 341,39 687,0.82,1.32,47%,53%,12,14,8,7,3,3,3,1,83%,85%,1,3,,,1,7,3,0,7,10,5,4,1,0,20,26,,,3,1,13,13,,,64%,69%,13%,35%,,,12,10,13,13,62%,67%,,,16,20,4,10,,,,,5,7,,,,,,,0,1
0jTArY85,,FINISHED,26.12.2024 16:00,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,3,0,7.3,6.2,Taylor A. (Eng),St. James' Park (Newcastle),52 305,52 168,2.62,0.34,63%,37%,22,4,8,1,3,0,9,6,91%,78%,2,1,,,7,2,7,1,16,2,6,2,1,0,49,9,,,5,3,10,15,,,84%,65%,22%,5%,,,7,11,15,10,82%,40%,,,19,18,7,5,,,,,1,5,,,,,0,1,,
dIMJtCwI,,FINISHED,26.12.2024 16:00,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,1,0,7.2,6.4,Pawson C. (Eng),City Ground (Nottingham),30 404,30 200,1.21,1.28,29%,71%,10,13,3,4,1,1,2,7,72%,88%,3,4,,,5,4,2,5,7,7,3,6,0,0,17,31,,,4,1,13,12,,,66%,80%,29%,11%,,,12,18,12,13,59%,30%,,,29,4,9,5,,,,,4,2,,,,,0,1,,
S4qiO3Nj,,FINISHED,26.12.2024 16:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,0,1,6.7,7.3,Smith L. (Eng),St. Mary's Stadium (Southampton),32 384,31 059,1.13,1.45,55%,45%,18,16,5,2,4,2,2,2,84%,79%,1,2,,,9,8,4,6,16,11,2,5,0,1,31,24,,,0,0,8,15,,,75%,62%,39%,30%,,,17,13,15,8,40%,84%,,,13,23,11,5,,,,,1,5,,,,,,,,
