matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,red_cards.home,red_cards.away
vmoYd37N,,FINISHED,20.04.2022 20:45,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,1,0,7.3,6.7,Harrington T. (Eng),St. James' Park (Newcastle),52 305,51 938,36%,64%,13,10,4,2,2,5,75%,83%,1,1,3,6,6,2,2,3,14,13,26,20,12,12,2,3,,
6ZnQbPxB,,FINISHED,19.04.2022 21:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,4,0,7.7,6.2,Atkinson M. (Eng),Anfield (Liverpool),61 276,52 686,72%,28%,14,2,5,1,9,2,89%,73%,1,2,6,0,3,1,3,2,8,7,21,12,3,6,1,1,,
M7vgJjKf,,FINISHED,17.04.2022 15:15,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,2,1,7.3,6.7,Gillett J. (Aus),St. James' Park (Newcastle),52 305,52 104,31%,69%,16,8,7,2,3,5,63%,83%,2,2,8,2,1,4,1,0,10,11,25,28,10,10,1,5,,
ATKmuYtE,,FINISHED,17.04.2022 15:15,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,1,1,7,7,Tierney P. (Eng),London Stadium (London),62 500,59 958,61%,39%,21,9,8,1,13,4,82%,67%,2,2,8,6,5,2,1,1,8,9,27,12,9,10,0,7,,
vqklKW4l,,FINISHED,16.04.2022 16:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,3,2,7.5,6.8,Madley A. (Eng),Old Trafford (Manchester),75 635,73 381,61%,39%,20,15,9,4,6,7,87%,78%,,,5,7,6,4,3,0,6,11,18,11,7,6,2,6,,
0bwcIAZ0,,FINISHED,16.04.2022 16:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,1,0,7.3,6.9,Bankes P. (Eng),St. Mary's Stadium (Southampton),32 384,31 465,24%,76%,9,23,3,6,6,8,59%,89%,2,1,1,12,5,5,2,0,7,8,13,28,6,6,6,2,,
8Ot5Gl4D,,FINISHED,16.04.2022 16:00,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,1,2,6.8,7.4,Hooper S. (Eng),Vicarage Road (Watford),22 200,21 000,51%,49%,17,16,4,5,6,5,75%,74%,2,1,8,7,5,4,1,0,9,11,24,36,11,9,3,3,,
UXs1HUl7,,FINISHED,16.04.2022 13:30,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,0,1,6.6,7.2,Pawson C. (Eng),Tottenham Hotspur Stadium (London),62 850,58 685,48%,52%,5,12,0,5,4,4,81%,84%,3,3,3,5,2,2,0,3,12,15,23,17,14,10,4,0,,
QLQKIJTq,,FINISHED,10.04.2022 17:30,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,2,2,7.1,6.9,Taylor A. (Eng),Etihad Stadium (Manchester),55 097,53 197,55%,45%,11,6,5,4,4,1,84%,79%,1,4,4,2,2,0,5,2,12,14,20,14,9,11,2,3,,
GnyoPLjG,,FINISHED,10.04.2022 15:00,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,2,0,7.4,6.6,Atkinson M. (Eng),Brentford Community Stadium (London),17 250,17 032,47%,53%,15,5,7,1,4,6,83%,84%,0,1,3,3,5,1,1,2,8,3,20,14,2,6,1,5,,
OCvgNaLS,,FINISHED,10.04.2022 15:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,2,1,7.2,6.6,Jones R. (Eng),King Power Stadium (Leicester),32 261,31 896,51%,49%,12,11,3,3,3,4,82%,83%,1,1,3,3,6,5,0,0,10,10,23,20,11,12,2,1,,
MmKTGcbd,,FINISHED,10.04.2022 15:00,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,2,0,7.6,6.7,Oliver M. (Eng),Carrow Road (Norwich),27 150,26 361,45%,55%,17,18,6,4,6,7,64%,69%,1,1,6,9,5,5,3,3,12,14,18,29,12,10,4,4,,
YNotQ1yA,,FINISHED,09.04.2022 18:30,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,0,4,6.4,7.5,Scott G. (Eng),Villa Park (Birmingham),42 789,41 949,52%,48%,19,11,8,5,9,3,87%,87%,2,3,5,1,6,5,1,2,14,13,16,11,12,14,1,8,,
MmrxRsM3,,FINISHED,09.04.2022 16:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,1,2,6.6,7.3,Coote D. (Eng),Emirates Stadium (London),60 704,60 112,65%,35%,20,8,4,3,11,2,83%,71%,3,4,5,4,11,1,2,2,18,14,17,19,12,19,1,3,,
zi8Busyc,,FINISHED,09.04.2022 16:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,0,6,5.8,8,Friend K. (Eng),St. Mary's Stadium (Southampton),32 384,32 000,29%,71%,4,24,1,14,2,3,74%,88%,1,0,0,8,3,2,0,1,9,11,24,18,11,10,8,1,,
Es7Fv1j3,,FINISHED,09.04.2022 16:00,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,0,3,6.5,7.5,Marriner A. (Eng),Vicarage Road (Watford),22 200,20 957,48%,52%,8,10,1,5,3,7,66%,64%,2,0,7,5,0,0,3,1,9,11,40,26,8,12,2,1,,
fwzkOu6M,,FINISHED,09.04.2022 13:30,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,1,0,7.3,6.8,Moss J. (Eng),Goodison Park (Liverpool),39 572,39 080,33%,67%,7,12,3,4,5,7,66%,81%,2,2,2,1,2,7,1,2,9,4,25,27,4,10,4,2,,
8pGPHwqj,,FINISHED,08.04.2022 21:00,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,1,0,7.2,6.5,Bankes P. (Eng),St. James' Park (Newcastle),52 305,52 164,41%,59%,12,5,4,2,1,2,81%,83%,1,1,3,2,5,1,1,0,9,5,20,18,6,13,2,3,,
pYadye5a,,FINISHED,06.04.2022 20:30,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,3,2,7.2,6.7,Dean M. (Eng),Turf Moor (Burnley),22 546,19 830,51%,49%,13,16,4,4,9,6,64%,63%,2,2,6,4,3,8,1,0,16,10,36,26,11,16,2,1,,
KKL6B2MG,,FINISHED,04.04.2022 21:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,3,0,7.3,6.2,Tierney P. (Eng),Selhurst Park (London),25 486,25 149,31%,69%,6,12,5,3,0,2,71%,85%,0,2,1,8,0,1,2,4,16,12,17,30,11,15,3,2,,
CI0o4KEj,,FINISHED,03.04.2022 17:30,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,5,1,7.4,6.1,Atkinson M. (Eng),Tottenham Hotspur Stadium (London),62 850,57 553,60%,40%,19,8,6,1,2,3,90%,81%,2,3,8,3,5,4,0,4,10,8,10,9,10,7,0,1,,
lzpUS3ii,,FINISHED,03.04.2022 15:00,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,2,1,7.1,6.5,Oliver M. (Eng),London Stadium (London),62 500,59 953,56%,44%,11,13,5,2,2,4,82%,81%,1,4,4,6,2,5,1,1,10,8,15,17,9,12,1,3,0,1
YR1s50ap,,FINISHED,02.04.2022 18:30,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,1,1,7,7.2,Marriner A. (Eng),Old Trafford (Manchester),75 635,73 444,54%,46%,11,11,5,3,6,5,86%,84%,2,2,5,6,1,2,4,1,6,14,21,15,13,6,2,4,,
829eE4xb,,FINISHED,02.04.2022 16:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,0,0,7.2,7,Hooper S. (Eng),Amex Stadium (Brighton),31 876,31 245,63%,37%,31,6,4,0,11,2,81%,66%,1,1,18,3,9,3,1,1,7,11,30,24,12,11,0,4,,
ng8aDOi4,,FINISHED,02.04.2022 16:00,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,2,6.3,7.4,Pawson C. (Eng),Turf Moor (Burnley),22 546,22 000,23%,77%,3,18,1,6,1,8,67%,88%,1,0,2,9,0,3,5,0,6,15,9,20,11,6,4,1,,
tUM2Cr7A,,FINISHED,02.04.2022 16:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,1,4,6.5,7.5,Madley A. (Eng),Stamford Bridge (London),40 341,39 061,71%,29%,21,17,8,6,12,7,90%,72%,,,9,5,4,6,0,0,6,10,22,13,11,7,2,7,,
2qBBAMyN,,FINISHED,02.04.2022 16:00,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,1,1,7.2,7,Taylor A. (Eng),Elland Road (Leeds),37 792,36 580,56%,44%,12,14,3,6,4,7,71%,65%,1,1,2,4,7,4,0,0,8,11,22,18,14,7,5,2,,
SQrYRN6c,,FINISHED,02.04.2022 16:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,2,1,7.1,6.7,England D. (Eng),Molineux Stadium (Wolverhampton),31 750,31 012,48%,52%,11,15,5,5,4,9,80%,83%,4,3,3,7,3,3,1,1,10,14,20,16,15,8,4,3,,
GnFF9tiT,,FINISHED,02.04.2022 13:30,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,2,0,7.5,6.4,Attwell S. (Eng),Anfield (Liverpool),61 276,53 104,73%,27%,20,5,3,2,9,3,84%,62%,1,1,10,2,7,1,1,3,8,9,26,16,9,8,2,1,,
bXR4isVp,,FINISHED,20.03.2022 17:30,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,3,1,7.1,6.4,Taylor A. (Eng),Tottenham Hotspur Stadium (London),62 850,58 685,53%,47%,17,6,4,1,5,3,90%,89%,0,1,8,5,5,0,1,0,7,8,12,13,7,7,0,2,,
faqMa5N4,,FINISHED,20.03.2022 15:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,2,1,7.4,6.6,England D. (Eng),King Power Stadium (Leicester),32 261,31 830,53%,47%,12,15,4,6,2,5,85%,81%,1,2,6,3,2,6,2,3,13,13,12,22,10,10,5,2,,
YqeD1Rhh,,FINISHED,19.03.2022 13:30,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,0,1,6.4,7.1,Madley A. (Eng),Villa Park (Birmingham),42 789,41 956,47%,53%,8,10,1,3,6,5,82%,85%,3,3,6,3,1,4,1,1,12,15,20,20,13,14,2,1,,
QwKjFpNi,,FINISHED,18.03.2022 21:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,2,3,6.3,7.1,Friend K. (Eng),Molineux Stadium (Wolverhampton),31 750,30 000,48%,52%,14,15,8,6,2,5,79%,78%,3,5,4,7,2,2,1,3,17,14,23,20,13,14,3,6,1,0
foImVv0N,,FINISHED,17.03.2022 20:45,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,0,7.2,6.7,Pawson C. (Eng),Goodison Park (Liverpool),39 572,39 068,38%,62%,9,17,3,6,5,7,66%,77%,2,1,3,6,3,5,1,1,11,14,21,27,13,11,6,2,1,0
b76idBaF,,FINISHED,16.03.2022 21:15,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,0,2,6.4,7.3,Marriner A. (Eng),Emirates Stadium (London),60 704,59 968,48%,52%,9,9,2,3,1,6,81%,82%,0,1,3,2,4,4,4,2,12,13,23,18,9,9,1,2,,
Ua8TGTNF,,FINISHED,16.03.2022 20:30,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,0,2,6.5,7.4,Jones R. (Eng),Amex Stadium (Brighton),31 876,31 144,48%,52%,15,17,0,7,6,3,85%,87%,2,2,7,4,8,6,3,1,9,13,16,15,11,9,5,0,,
EuOno68B,,FINISHED,14.03.2022 21:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,0,7,7.2,Atkinson M. (Eng),Selhurst Park (London),25 486,25 309,26%,74%,7,19,1,4,2,6,65%,87%,3,1,5,9,1,6,2,3,14,6,15,27,6,11,4,1,,
nD4wkl9n,,FINISHED,13.03.2022 17:30,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,2,0,7.4,6.4,Taylor A. (Eng),Emirates Stadium (London),60 704,60 111,46%,54%,21,6,8,3,2,6,86%,88%,0,3,4,1,9,2,2,0,7,10,15,23,8,10,3,6,,
YT6knng5,,FINISHED,13.03.2022 15:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,0,7.1,6.4,Coote D. (Eng),Stamford Bridge (London),40 341,40 026,73%,27%,8,7,3,2,7,2,86%,62%,4,3,4,5,1,0,3,6,22,21,15,23,17,17,2,2,,
hWMjpQNH,,FINISHED,13.03.2022 15:00,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,0,1,6.5,7.3,Oliver M. (Eng),Goodison Park (Liverpool),39 572,39 112,38%,62%,8,14,2,3,5,2,78%,87%,4,1,6,5,0,6,7,0,9,17,17,15,13,11,2,2,1,0
ngMfqpwO,,FINISHED,13.03.2022 15:00,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,2,1,7.3,6.7,Attwell S. (Eng),Elland Road (Leeds),37 792,36 321,53%,47%,13,12,7,4,6,2,75%,73%,3,1,5,4,1,4,2,3,12,18,26,23,18,8,3,5,,
QJi53mOu,,FINISHED,13.03.2022 15:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,1,2,6.6,7.4,Scott G. (Eng),St. Mary's Stadium (Southampton),32 384,28 863,63%,37%,13,9,7,5,11,3,78%,66%,3,2,5,3,1,1,0,0,12,8,31,15,8,12,3,6,,
4Aj927wn,,FINISHED,13.03.2022 15:00,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,2,1,7.3,6.7,Gillett J. (Aus),London Stadium (London),62 500,59 957,48%,52%,11,13,4,7,5,7,82%,84%,1,0,5,2,2,4,0,0,3,9,18,20,9,3,6,2,,
0dQbr4hU,,FINISHED,12.03.2022 18:30,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,3,2,7.2,6.4,Moss J. (Eng),Old Trafford (Manchester),75 635,73 458,44%,56%,10,10,6,3,4,5,85%,89%,2,1,3,2,1,5,0,2,9,7,9,17,8,7,2,3,,
0G8sl8Oh,,FINISHED,12.03.2022 16:00,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,2,0,7.4,6.3,Tierney P. (Eng),Brentford Community Stadium (London),17 250,16 984,55%,45%,13,7,4,1,2,9,68%,64%,1,1,4,5,5,1,4,4,13,10,30,15,6,10,1,2,0,1
fw8omSwa,,FINISHED,12.03.2022 13:30,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,0,2,6.4,7.3,Dean M. (Eng),Amex Stadium (Brighton),31 876,31 474,52%,48%,8,18,3,9,7,5,78%,78%,3,1,4,6,1,3,1,1,16,12,27,19,12,15,7,3,,
zcZpUbFT,,FINISHED,10.03.2022 20:45,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,0,3,6.3,7.6,Hooper S. (Eng),Elland Road (Leeds),37 792,36 400,51%,49%,4,15,1,9,3,5,77%,82%,5,3,2,2,1,4,3,5,15,19,20,18,17,11,6,1,,
dOuwdNMT,,FINISHED,10.03.2022 20:30,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,1,3,6.4,7.3,Atkinson M. (Eng),Carrow Road (Norwich),27 150,27 606,34%,66%,8,15,3,7,3,8,81%,91%,0,2,4,5,1,3,2,1,15,10,14,15,8,15,4,2,,
vVRt0aac,,FINISHED,10.03.2022 20:30,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,2,6.8,7.4,Friend K. (Eng),St. Mary's Stadium (Southampton),32 384,,68%,32%,14,8,5,4,12,5,83%,66%,1,1,4,1,5,3,1,1,7,7,20,14,6,7,2,4,,
IuNOzqWo,,FINISHED,10.03.2022 20:30,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,4,0,7.3,6.1,England D. (Eng),Molineux Stadium (Wolverhampton),31 750,29 658,66%,34%,10,9,5,0,5,2,88%,77%,2,2,4,5,1,4,1,4,12,9,24,14,11,10,0,2,,
v9bNrDnD,,FINISHED,07.03.2022 21:00,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,5,0,7.5,5.9,Attwell S. (Eng),Tottenham Hotspur Stadium (London),62 850,59 647,55%,45%,14,6,7,0,5,2,88%,85%,2,0,5,2,2,4,0,1,10,13,13,19,15,10,0,2,,
K8iBoF2f,,FINISHED,06.03.2022 17:30,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,4,1,7.5,6.3,Oliver M. (Eng),Etihad Stadium (Manchester),55 097,53 165,69%,31%,24,5,10,2,9,3,93%,83%,0,1,6,1,8,2,0,1,12,10,14,9,10,14,1,6,,
SOi57dPD,,FINISHED,06.03.2022 15:00,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,2,3,6.8,7.4,Pawson C. (Eng),Vicarage Road (Watford),22 200,21 142,43%,57%,13,16,7,4,1,5,75%,84%,1,2,3,9,3,3,2,0,10,7,36,15,5,11,1,5,,
Qoh7neml,,FINISHED,05.03.2022 18:30,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,1,0,7.5,6.8,Moss J. (Eng),Anfield (Liverpool),61 276,54 000,69%,31%,22,13,5,5,4,6,86%,72%,2,1,10,5,7,3,1,4,11,8,19,14,7,7,5,4,,
SACWhcAK,,FINISHED,05.03.2022 16:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,4,0,7.5,6.3,Bankes P. (Eng),Villa Park (Birmingham),42 789,41 855,38%,62%,14,11,9,1,4,7,74%,83%,1,1,4,7,1,3,0,1,9,10,16,19,10,8,1,5,,
61BzhHPQ,,FINISHED,05.03.2022 16:00,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,0,4,6,7.7,Marriner A. (Eng),Turf Moor (Burnley),22 546,22 000,27%,73%,6,11,1,5,5,2,67%,89%,2,0,2,0,3,6,1,1,8,12,14,17,12,7,1,1,,
IgAEpZH0,,FINISHED,05.03.2022 16:00,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,2,1,7.2,6.8,Atkinson M. (Eng),St. James' Park (Newcastle),52 305,52 214,32%,68%,10,15,4,4,4,7,63%,83%,1,1,4,3,2,8,0,4,14,8,14,24,8,10,3,2,,
0IaJqgX6,,FINISHED,05.03.2022 16:00,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,1,3,6.4,7.5,Taylor A. (Eng),Carrow Road (Norwich),27 150,26 887,60%,40%,15,10,7,6,5,5,77%,70%,2,5,3,1,5,3,1,3,20,12,31,17,13,18,3,6,,
4lFYkUgt,,FINISHED,05.03.2022 16:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,0,2,6.6,7.5,Madley A. (Eng),Molineux Stadium (Wolverhampton),31 750,31 395,64%,36%,12,12,5,8,7,7,81%,74%,0,3,4,1,3,3,1,8,16,12,16,12,13,8,6,5,,
neg3myYs,,FINISHED,05.03.2022 13:30,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,1,0,7.3,6.9,Coote D. (Eng),King Power Stadium (Leicester),32 261,32 236,51%,49%,7,19,4,4,5,10,79%,258%,1,2,0,9,3,6,2,0,13,11,22,32,9,12,4,3,,
6qrNuVDr,,FINISHED,01.03.2022 20:45,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,0,2,6.7,7.2,Kavanagh C. (Eng),Turf Moor (Burnley),22 546,17 825,45%,55%,9,22,2,6,6,8,65%,72%,1,1,4,6,3,10,4,3,16,14,26,26,10,13,4,2,,
YmDSgweE,,FINISHED,27.02.2022 15:00,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,1,0,7.4,6.6,Taylor A. (Eng),London Stadium (London),62 500,59 946,39%,61%,13,14,4,1,3,5,79%,85%,1,0,8,4,1,9,2,1,3,10,19,18,8,2,1,3,,
Uepzlm7e,,FINISHED,26.02.2022 18:30,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,1,6.6,7.3,Tierney P. (Eng),Goodison Park (Liverpool),39 572,40 000,33%,67%,6,13,2,8,3,4,76%,88%,3,2,3,3,1,2,4,2,14,9,12,14,7,14,7,2,,
WK4afkUR,,FINISHED,26.02.2022 16:30,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,0,2,6.5,7.2,Brooks J. (Eng),Amex Stadium (Brighton),31 876,31 475,65%,35%,12,9,1,4,7,2,88%,79%,4,5,6,2,5,3,0,0,12,17,23,16,17,11,2,1,,
