matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,red_cards.home,red_cards.away
8tdRk9xq,,FINISHED,19.05.2022 21:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,1,1,7.1,7.1,Attwell S. (Eng),Stamford Bridge (London),40 341,31 478,67%,33%,20,2,7,1,6,0,93%,79%,4,1,5,1,8,0,1,1,4,13,21,11,13,7,0,6,,
YqNGxuLF,,FINISHED,19.05.2022 20:45,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,3,2,7.3,6.6,Taylor A. (Eng),Goodison Park (Liverpool),39 572,40 000,43%,57%,12,7,6,5,4,5,70%,77%,2,3,4,2,2,0,0,3,14,9,23,24,9,12,3,3,,
SKD2jeop,,FINISHED,17.05.2022 20:45,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,1,2,6.6,7.5,Atkinson M. (Eng),St. Mary's Stadium (Southampton),32 384,31 588,29%,71%,4,24,2,5,1,9,75%,89%,2,0,0,10,2,9,0,2,8,6,17,25,6,6,3,1,,
IBoZ7NGH,,FINISHED,16.05.2022 21:00,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,2,0,7.3,6.5,England D. (Eng),St. James' Park (Newcastle),52 305,52 274,51%,49%,16,11,4,2,12,8,80%,78%,0,3,7,4,5,5,6,1,7,16,22,14,11,8,2,2,,
SMhMAPWb,,FINISHED,15.05.2022 17:30,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,2,3,6.4,7,Oliver M. (Eng),Goodison Park (Liverpool),39 572,38 819,28%,72%,10,18,5,7,5,2,67%,84%,0,3,5,10,0,1,2,1,5,7,11,22,8,8,4,3,2,0
lWgIB5Hh,,FINISHED,15.05.2022 15:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,1,1,7.1,7.1,Kavanagh C. (Eng),Villa Park (Birmingham),42 789,41 136,48%,52%,13,16,4,4,1,5,81%,83%,1,3,5,6,4,6,1,0,15,11,22,22,11,15,3,3,,
ddcQ9qn5,,FINISHED,15.05.2022 15:00,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,1,1,7,7.3,Dean M. (Eng),Elland Road (Leeds),37 792,36 638,50%,50%,20,15,6,6,8,1,69%,73%,3,2,10,7,4,2,1,1,10,17,24,21,16,8,5,5,,
0YBAlZFd,,FINISHED,15.05.2022 15:00,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,1,5,6.2,7.7,Gillett J. (Aus),Vicarage Road (Watford),22 200,20 257,40%,60%,13,13,5,7,7,3,77%,85%,0,1,8,6,0,0,3,2,7,7,21,23,4,6,2,4,,
vJsicRJd,,FINISHED,15.05.2022 15:00,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,2,2,7,7.1,Taylor A. (Eng),London Stadium (London),62 500,59 972,22%,78%,6,31,2,8,4,9,64%,87%,3,1,3,10,1,13,1,0,5,6,9,15,9,5,6,0,,
I9tedoZ2,,FINISHED,15.05.2022 15:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,1,1,7.1,7,Harrington T. (Eng),Molineux Stadium (Wolverhampton),31 750,31 219,64%,36%,17,11,4,2,5,3,84%,73%,0,3,7,8,6,1,0,0,7,4,18,18,5,10,1,3,,
MsD6kF0j,,FINISHED,15.05.2022 13:00,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,1,0,7.4,6.7,Friend K. (Eng),Tottenham Hotspur Stadium (London),62 850,61 729,69%,31%,21,8,8,1,8,2,87%,74%,3,2,7,6,6,1,1,2,9,13,20,15,12,8,1,7,,
ltwL0Wk8,,FINISHED,12.05.2022 20:45,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,3,0,7.6,6.1,Tierney P. (Eng),Tottenham Hotspur Stadium (London),62 850,62 027,58%,42%,16,9,6,5,2,2,89%,84%,1,5,5,2,5,2,1,0,13,8,7,16,8,15,5,3,0,1
8EwivhdK,,FINISHED,11.05.2022 21:15,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,1,5,6.1,7.5,Atkinson M. (Eng),Molineux Stadium (Wolverhampton),31 750,32 000,34%,66%,7,15,3,5,6,2,83%,92%,0,1,3,9,1,1,2,3,13,4,9,12,2,11,0,2,,
OMqfxd7j,,FINISHED,11.05.2022 20:45,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,3,0,7.7,6.6,Hooper S. (Eng),King Power Stadium (Leicester),32 261,38 092,65%,35%,20,9,8,5,10,2,87%,79%,,,5,4,7,0,1,0,4,11,25,18,10,5,5,5,,
CzGnGQ7o,,FINISHED,11.05.2022 20:45,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,0,0,7.2,7.2,Dean M. (Eng),Vicarage Road (Watford),22 200,20 653,48%,52%,6,16,0,5,1,13,82%,79%,1,2,5,4,1,7,1,1,9,4,12,17,5,12,5,0,,
QuopLCkr,,FINISHED,11.05.2022 20:30,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,0,3,6,7.5,Taylor A. (Eng),Elland Road (Leeds),37 792,36 549,32%,68%,5,17,0,4,1,4,77%,89%,1,0,4,10,1,3,0,3,17,9,18,11,10,14,1,0,1,0
fgOCwL59,,FINISHED,10.05.2022 21:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,1,2,6.7,7.3,Moss J. (Eng),Villa Park (Birmingham),42 789,41 919,39%,61%,9,17,4,6,2,3,75%,83%,,,5,8,0,3,3,2,14,11,24,20,10,12,4,3,,
h409DRnt,,FINISHED,08.05.2022 17:30,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,5,0,7.8,6.1,Attwell S. (Eng),Etihad Stadium (Manchester),55 097,53 336,71%,29%,21,7,9,3,8,2,91%,77%,1,3,8,3,4,1,1,4,14,7,12,9,6,11,3,4,,
2a3raSXn,,FINISHED,08.05.2022 15:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,2,1,7.3,6.3,Kavanagh C. (Eng),Emirates Stadium (London),60 704,60 108,63%,37%,19,3,9,2,8,2,90%,78%,2,2,8,0,2,1,1,0,11,14,30,10,13,15,1,7,0,1
xhQagO1O,,FINISHED,08.05.2022 15:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,1,2,6.6,7.2,Pawson C. (Eng),King Power Stadium (Leicester),32 261,32 001,66%,34%,16,10,9,4,6,1,86%,72%,3,0,6,3,1,3,2,0,6,12,29,15,11,6,2,8,,
674DCo2n,,FINISHED,08.05.2022 15:00,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,0,4,6,7.5,Jones R. (Eng),Carrow Road (Norwich),27 150,27 000,37%,63%,8,13,2,5,9,5,85%,91%,1,1,2,3,4,5,2,3,9,5,8,16,7,7,1,2,,
GrP3hrHU,,FINISHED,07.05.2022 20:45,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,1,1,7.2,7.3,Oliver M. (Eng),Anfield (Liverpool),61 276,54 000,65%,35%,22,8,3,3,11,5,86%,74%,3,2,6,2,13,3,0,0,4,12,19,20,12,8,2,2,,
OEiic62a,,FINISHED,07.05.2022 18:30,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,4,0,7.5,6.4,Madley A. (Eng),Amex Stadium (Brighton),31 876,31 637,42%,58%,17,15,6,5,7,6,79%,85%,0,2,7,7,4,3,3,3,10,12,17,13,13,9,5,2,,
tj2nbnmg,,FINISHED,07.05.2022 16:00,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,3,0,7.6,6.5,Salisbury M. (Eng),Brentford Community Stadium (London),17 250,17 051,40%,60%,18,19,5,4,4,7,68%,79%,0,1,8,10,5,5,0,2,10,9,16,13,12,9,4,2,,
xIeedQH5,,FINISHED,07.05.2022 16:00,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,1,3,6.4,7.3,Coote D. (Eng),Turf Moor (Burnley),22 546,20 891,49%,51%,14,12,6,7,4,5,77%,78%,1,2,7,2,1,3,1,2,13,12,18,22,13,11,4,5,,
WveaepXB,,FINISHED,07.05.2022 16:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,2,2,7.2,6.8,Bankes P. (Eng),Stamford Bridge (London),40 341,32 190,59%,41%,19,14,6,4,9,3,81%,76%,1,3,8,9,5,1,2,1,9,9,18,15,7,11,2,4,,
AVg3f4nI,,FINISHED,07.05.2022 16:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,1,0,7.2,6.3,Scott G. (Eng),Selhurst Park (London),25 486,24 622,68%,32%,15,6,7,1,8,5,84%,69%,2,3,4,2,4,3,2,0,14,12,25,16,11,18,1,6,0,1
SnxDqmYa,,FINISHED,02.05.2022 21:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,3,0,7.6,6.2,Kavanagh C. (Eng),Old Trafford (Manchester),75 635,73 482,65%,35%,9,12,5,4,3,8,91%,82%,1,0,3,5,1,3,3,2,8,7,9,18,4,6,4,2,,
WGCC4lAP,,FINISHED,01.05.2022 17:30,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,1,2,6.6,7.4,Dean M. (Eng),London Stadium (London),62 500,59 959,56%,44%,8,13,3,7,3,7,84%,82%,2,2,1,4,4,2,1,0,9,8,23,12,8,9,5,2,,
fZw5o93m,,FINISHED,01.05.2022 15:00,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,1,0,7.2,6.7,Friend K. (Eng),Goodison Park (Liverpool),39 572,39 256,22%,78%,9,17,4,5,3,8,58%,88%,3,5,4,7,1,5,0,2,10,6,20,15,9,12,5,3,,
IyVPtoII,,FINISHED,01.05.2022 15:00,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,3,1,7.3,6.5,Moss J. (Eng),Tottenham Hotspur Stadium (London),62 850,59 482,39%,61%,13,6,7,2,6,3,77%,86%,2,3,4,3,2,1,2,0,8,14,16,19,13,8,1,4,,
ldw9pTIg,,FINISHED,30.04.2022 18:30,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,4,6.1,7.9,Tierney P. (Eng),Elland Road (Leeds),37 792,35 771,41%,59%,7,19,2,6,3,6,78%,89%,1,2,1,6,4,7,3,1,4,15,25,20,13,3,2,2,,
tWZ0nkls,,FINISHED,30.04.2022 16:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,2,0,7.2,6.6,Brooks J. (Eng),Villa Park (Birmingham),42 789,40 290,45%,55%,21,9,6,3,2,3,77%,77%,4,1,8,6,7,0,3,0,8,19,25,32,16,8,3,4,,
OEVLsR2C,,FINISHED,30.04.2022 16:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,1,2,6.8,7.3,Gillett J. (Aus),St. Mary's Stadium (Southampton),32 384,,39%,61%,8,14,3,5,6,7,67%,80%,1,3,3,3,2,6,0,4,13,14,16,25,13,11,3,2,,
UBYTu5XO,,FINISHED,30.04.2022 16:00,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,1,2,6.6,7.2,Pawson C. (Eng),Vicarage Road (Watford),22 200,20 738,47%,53%,13,17,1,6,5,6,64%,66%,1,2,9,5,3,6,1,0,6,12,29,27,13,9,4,1,,
YPbv08It,,FINISHED,30.04.2022 16:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,0,3,6.4,7.5,Hooper S. (Eng),Molineux Stadium (Wolverhampton),31 750,31 243,49%,51%,11,17,1,9,7,3,79%,80%,2,1,5,4,5,4,1,1,4,5,15,20,6,4,6,1,,
pOWHr7m6,,FINISHED,30.04.2022 13:30,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,0,1,6.6,7.4,Marriner A. (Eng),St. James' Park (Newcastle),52 305,52 281,34%,66%,4,24,2,10,0,6,65%,82%,1,3,1,10,1,4,9,1,10,18,27,16,11,11,9,2,,
zmdU831B,,FINISHED,28.04.2022 20:45,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,1,1,7.2,7.2,Dean M. (Eng),Old Trafford (Manchester),75 635,73 564,35%,65%,6,21,3,6,2,9,79%,89%,0,1,1,9,2,6,2,3,15,10,16,21,9,12,5,2,,
8xMwVmJ6,,FINISHED,25.04.2022 21:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,0,0,7.2,7.2,England D. (Eng),Selhurst Park (London),25 486,25 357,53%,47%,17,9,7,2,6,3,75%,68%,2,2,6,4,4,3,1,1,10,13,31,26,12,13,2,7,,
UiAnTRmJ,,FINISHED,24.04.2022 17:30,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,2,0,7.3,6.4,Attwell S. (Eng),Anfield (Liverpool),61 276,52 852,83%,17%,18,9,4,1,13,1,89%,55%,2,5,11,4,3,4,1,0,8,8,29,15,8,8,1,2,,
MLJRXkZm,,FINISHED,24.04.2022 15:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,2,2,6.8,7,Jones R. (Eng),Amex Stadium (Brighton),31 876,31 335,49%,51%,8,18,5,5,6,6,65%,70%,1,0,0,6,3,7,2,3,10,12,21,33,12,7,3,3,,
0CIVW9lf,,FINISHED,24.04.2022 15:00,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,1,0,7.3,6.8,Taylor A. (Eng),Turf Moor (Burnley),22 546,20 000,36%,64%,14,10,5,4,3,6,74%,83%,3,1,5,1,4,5,5,2,10,11,14,26,8,7,4,4,,
fZHZVT30,,FINISHED,24.04.2022 15:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,1,0,7.3,6.5,Oliver M. (Eng),Stamford Bridge (London),40 341,32 231,67%,33%,26,6,5,2,3,1,85%,71%,1,0,9,2,12,2,2,2,10,12,16,17,11,9,2,4,0,1
4pPMYVJs,,FINISHED,23.04.2022 18:30,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,0,0,6.9,7.2,Atkinson M. (Eng),Brentford Community Stadium (London),17 250,17 072,44%,56%,15,9,2,0,12,8,76%,85%,2,1,6,4,7,5,1,1,7,7,19,19,8,7,0,2,,
j1BrU7YC,,FINISHED,23.04.2022 16:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,0,0,6.9,6.9,Madley A. (Eng),King Power Stadium (Leicester),32 261,32 185,64%,36%,5,11,2,3,7,6,85%,68%,3,2,3,4,0,4,0,1,14,15,28,23,15,16,3,2,,
dbbUiBQJ,,FINISHED,23.04.2022 16:00,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,5,1,7.6,6.1,Friend K. (Eng),Etihad Stadium (Manchester),55 097,53 013,74%,26%,21,5,8,2,11,4,88%,72%,1,0,7,2,6,1,0,2,8,8,13,12,9,7,1,3,,
zkcYjVuQ,,FINISHED,23.04.2022 16:00,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,0,3,6.2,7.5,Kavanagh C. (Eng),Carrow Road (Norwich),27 150,26 910,45%,55%,5,13,2,7,2,3,75%,83%,0,2,3,6,0,0,1,0,9,12,26,27,11,10,4,2,,
2ywewCBQ,,FINISHED,23.04.2022 13:30,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,3,1,7.2,6.4,Pawson C. (Eng),Emirates Stadium (London),60 704,60 223,55%,45%,14,14,7,5,1,7,85%,82%,3,4,5,6,2,3,2,2,12,11,13,20,9,12,4,4,,
CzfH0o8b,,FINISHED,21.04.2022 20:45,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,2,0,7.4,6.6,Attwell S. (Eng),Turf Moor (Burnley),22 546,17 384,43%,57%,16,11,6,3,10,10,69%,80%,2,2,4,4,6,4,3,2,8,8,24,20,7,7,3,4,,
0dnUcqhH,,FINISHED,20.04.2022 21:00,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,3,0,7.4,6.3,Dean M. (Eng),Etihad Stadium (Manchester),55 097,52 226,65%,35%,17,2,5,1,7,4,88%,74%,0,3,4,1,8,0,1,2,8,11,16,15,12,7,1,2,,
bXkrVY0G,,FINISHED,20.04.2022 20:45,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,2,4,6.3,7.3,Moss J. (Eng),Stamford Bridge (London),40 341,32 249,68%,32%,11,14,2,4,6,1,84%,75%,3,1,5,7,4,3,1,4,10,7,21,17,7,6,0,0,,
0MoAPc6m,,FINISHED,20.04.2022 20:45,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,1,1,7.1,6.9,Coote D. (Eng),Goodison Park (Liverpool),39 572,39 153,37%,63%,13,11,3,3,5,4,72%,81%,4,2,8,1,2,7,0,1,18,7,24,23,8,17,2,2,,
